time	charge	amps	volts
1.000000	0.000075	0.000270	9.250980
2.000000	0.000150	0.000271	9.453770
3.000000	0.000226	0.000271	9.536180
4.000000	0.000301	0.000271	9.615170
5.000000	0.000377	0.000271	9.564280
6.000000	0.000452	0.000271	9.639100
7.000000	0.000527	0.000271	9.669480
8.000000	0.000603	0.000272	9.695680
9.000000	0.000678	0.000272	9.734040
10.000000	0.000754	0.000271	9.634160
11.000000	0.000829	0.000271	9.707830
12.000000	0.000905	0.000271	9.813790
13.000000	0.000980	0.000272	9.765560
14.000000	0.001055	0.000271	9.773530
15.000000	0.001131	0.000271	9.810370
16.000000	0.001206	0.000271	9.849100
17.000000	0.001282	0.000271	9.824040
18.000000	0.001357	0.000271	9.848340
19.000000	0.001433	0.000272	9.887460
20.000000	0.001508	0.000272	9.770870
21.000000	0.001583	0.000272	9.791000
22.000000	0.001659	0.000271	9.879860
23.000000	0.001734	0.000272	9.864290
24.000000	0.001810	0.000272	9.809990
25.000000	0.001885	0.000271	9.801630
26.000000	0.001961	0.000272	9.789100
27.000000	0.002036	0.000272	9.711250
28.000000	0.002112	0.000271	9.686570
29.000000	0.002187	0.000272	9.759860
30.000000	0.002263	0.000271	9.692640
31.000000	0.002338	0.000272	9.695680
32.000000	0.002413	0.000271	9.642130
33.000000	0.002489	0.000271	9.675930
34.000000	0.002564	0.000271	9.734040
35.000000	0.002640	0.000271	9.762520
36.000000	0.002715	0.000272	9.807330
37.000000	0.002791	0.000272	9.731760
38.000000	0.002866	0.000272	9.697960
39.000000	0.002942	0.000271	9.663020
40.000000	0.003017	0.000271	9.685810
41.000000	0.003092	0.000271	9.753780
42.000000	0.003168	0.000272	9.746190
43.000000	0.003243	0.000272	9.696820
44.000000	0.003319	0.000271	9.637200
45.000000	0.003394	0.000272	9.636820
46.000000	0.003470	0.000271	9.733660
47.000000	0.003545	0.000272	9.751500
48.000000	0.003621	0.000272	9.655430
49.000000	0.003696	0.000271	9.719980
50.000000	0.003771	0.000271	9.773150
51.000000	0.003847	0.000272	9.772770
52.000000	0.003922	0.000271	9.697580
53.000000	0.003998	0.000271	9.763660
54.000000	0.004073	0.000271	9.825180
55.000000	0.004149	0.000272	9.767450
56.000000	0.004224	0.000272	9.738210
57.000000	0.004300	0.000271	9.718090
58.000000	0.004375	0.000271	9.765940
59.000000	0.004450	0.000272	9.734800
60.000000	0.004526	0.000271	9.702140
61.000000	0.004601	0.000271	9.778090
62.000000	0.004677	0.000271	9.709350
63.000000	0.004752	0.000271	9.776570
64.000000	0.004828	0.000272	9.774670
65.000000	0.004903	0.000271	9.712390
66.000000	0.004978	0.000271	9.764040
67.000000	0.005054	0.000272	9.749230
68.000000	0.005129	0.000272	9.715430
69.000000	0.005205	0.000271	9.761000
70.000000	0.005280	0.000272	9.781130
71.000000	0.005356	0.000272	9.793280
72.000000	0.005431	0.000272	9.791000
73.000000	0.005507	0.000272	9.763660
74.000000	0.005582	0.000271	9.759100
75.000000	0.005657	0.000272	9.805810
76.000000	0.005733	0.000272	9.752640
77.000000	0.005808	0.000271	9.783400
78.000000	0.005884	0.000271	9.844550
79.000000	0.005959	0.000272	9.885560
80.000000	0.006035	0.000272	9.819480
81.000000	0.006110	0.000272	9.706310
82.000000	0.006186	0.000272	9.700620
83.000000	0.006261	0.000271	9.762900
84.000000	0.006336	0.000271	9.825940
85.000000	0.006412	0.000272	9.865810
86.000000	0.006487	0.000272	9.644030
87.000000	0.006563	0.000272	9.625050
88.000000	0.006638	0.000272	9.645550
89.000000	0.006714	0.000271	9.705550
90.000000	0.006789	0.000272	9.730620
91.000000	0.006865	0.000271	9.757960
92.000000	0.006940	0.000271	9.688840
93.000000	0.007015	0.000271	9.729480
94.000000	0.007091	0.000271	9.729480
95.000000	0.007166	0.000271	9.758720
96.000000	0.007242	0.000272	9.728720
97.000000	0.007317	0.000271	9.696440
98.000000	0.007393	0.000271	9.709730
99.000000	0.007468	0.000271	9.742010
100.000000	0.007543	0.000272	9.744290
101.000000	0.007619	0.000271	9.760240
102.000000	0.007694	0.000272	9.786820
103.000000	0.007770	0.000272	9.675550
104.000000	0.007845	0.000271	9.725680
105.000000	0.007921	0.000272	9.744290
106.000000	0.007996	0.000271	9.711250
107.000000	0.008072	0.000272	9.717330
108.000000	0.008147	0.000272	9.712390
109.000000	0.008223	0.000272	9.680490
110.000000	0.008298	0.000271	9.724920
111.000000	0.008373	0.000271	9.773530
112.000000	0.008449	0.000272	9.789100
113.000000	0.008524	0.000271	9.835430
114.000000	0.008600	0.000272	9.741250
115.000000	0.008675	0.000272	9.735550
116.000000	0.008751	0.000271	9.777710
117.000000	0.008826	0.000271	9.808470
118.000000	0.008901	0.000271	9.861630
119.000000	0.008977	0.000271	9.894290
120.000000	0.009052	0.000272	9.907210
121.000000	0.009128	0.000271	9.896570
122.000000	0.009203	0.000272	9.879100
123.000000	0.009279	0.000272	9.880620
124.000000	0.009354	0.000272	9.786820
125.000000	0.009430	0.000272	9.701760
126.000000	0.009505	0.000272	9.713530
127.000000	0.009580	0.000272	9.750750
128.000000	0.009656	0.000272	9.594660
129.000000	0.009732	0.000271	9.480360
130.000000	0.009807	0.000271	9.589730
131.000000	0.009882	0.000271	9.737830
132.000000	0.009958	0.000272	9.734040
133.000000	0.010033	0.000271	9.700620
134.000000	0.010108	0.000271	9.740110
135.000000	0.010184	0.000271	9.760240
136.000000	0.010259	0.000272	9.751500
137.000000	0.010335	0.000271	9.702520
138.000000	0.010410	0.000271	9.748090
139.000000	0.010486	0.000271	9.794800
140.000000	0.010561	0.000272	9.774290
141.000000	0.010637	0.000272	9.778090
142.000000	0.010712	0.000271	9.811510
143.000000	0.010787	0.000271	9.820620
144.000000	0.010863	0.000271	9.847960
145.000000	0.010938	0.000272	9.733280
146.000000	0.011014	0.000272	9.707070
147.000000	0.011089	0.000271	9.711250
148.000000	0.011165	0.000271	9.799350
149.000000	0.011240	0.000271	9.753780
150.000000	0.011315	0.000271	9.740110
151.000000	0.011391	0.000272	9.752640
152.000000	0.011466	0.000271	9.738970
153.000000	0.011542	0.000271	9.734800
154.000000	0.011617	0.000271	9.819480
155.000000	0.011693	0.000271	9.844930
156.000000	0.011768	0.000272	9.862390
157.000000	0.011844	0.000272	9.779230
158.000000	0.011919	0.000272	9.807710
159.000000	0.011994	0.000271	9.873410
160.000000	0.012070	0.000271	9.905690
161.000000	0.012145	0.000272	9.882520
162.000000	0.012221	0.000271	9.844170
163.000000	0.012296	0.000272	9.894670
164.000000	0.012372	0.000271	9.907590
165.000000	0.012447	0.000272	9.806570
166.000000	0.012523	0.000272	9.784160
167.000000	0.012598	0.000271	9.792140
168.000000	0.012673	0.000271	9.817580
