time	charge	amps	volts
1.000000	-0.000000	-0.000001	2.965600
2.000000	-0.000000	0.000000	3.110670
3.000000	0.000000	0.000001	3.203710
4.000000	0.000001	0.000002	3.290290
5.000000	0.000002	0.000003	3.390170
6.000000	0.000003	0.000004	3.483210
7.000000	0.000004	0.000005	3.574730
8.000000	0.000006	0.000006	3.659420
9.000000	0.000008	0.000007	3.747900
10.000000	0.000010	0.000008	3.827650
11.000000	0.000013	0.000009	3.905880
12.000000	0.000016	0.000010	3.994740
13.000000	0.000019	0.000011	4.074110
14.000000	0.000022	0.000012	4.139810
15.000000	0.000026	0.000013	4.221080
16.000000	0.000030	0.000014	4.281840
17.000000	0.000034	0.000015	4.374120
18.000000	0.000039	0.000016	4.453490
19.000000	0.000044	0.000017	4.522990
20.000000	0.000049	0.000018	4.597800
21.000000	0.000054	0.000019	4.666160
22.000000	0.000060	0.000020	4.731480
23.000000	0.000066	0.000021	4.793380
24.000000	0.000072	0.000022	4.870470
25.000000	0.000079	0.000023	4.941480
26.000000	0.000085	0.000024	5.019710
27.000000	0.000092	0.000025	5.091870
28.000000	0.000100	0.000026	5.158700
29.000000	0.000107	0.000027	5.234280
30.000000	0.000115	0.000028	5.315920
31.000000	0.000123	0.000029	5.388460
32.000000	0.000132	0.000031	5.430230
33.000000	0.000141	0.000031	5.489850
34.000000	0.000150	0.000033	5.584410
35.000000	0.000159	0.000033	5.645940
36.000000	0.000169	0.000035	5.694920
37.000000	0.000178	0.000035	5.740120
38.000000	0.000189	0.000037	5.815690
39.000000	0.000199	0.000037	5.881770
40.000000	0.000210	0.000039	5.931890
41.000000	0.000221	0.000040	5.974050
42.000000	0.000232	0.000040	6.035950
43.000000	0.000243	0.000041	6.098610
44.000000	0.000255	0.000042	6.160510
45.000000	0.000267	0.000044	6.218990
46.000000	0.000280	0.000045	6.276330
47.000000	0.000292	0.000045	6.328740
48.000000	0.000305	0.000047	6.351910
49.000000	0.000318	0.000048	6.381150
50.000000	0.000332	0.000049	6.425200
51.000000	0.000346	0.000050	6.456340
52.000000	0.000360	0.000050	6.484820
53.000000	0.000374	0.000051	6.547100
54.000000	0.000389	0.000053	6.556980
55.000000	0.000404	0.000053	6.565330
56.000000	0.000419	0.000055	6.564190
57.000000	0.000434	0.000056	6.610140
58.000000	0.000450	0.000056	6.668620
59.000000	0.000466	0.000058	6.715710
60.000000	0.000482	0.000059	6.700520
61.000000	0.000499	0.000060	6.728630
62.000000	0.000515	0.000060	6.749130
63.000000	0.000533	0.000061	6.775720
64.000000	0.000550	0.000062	6.814830
65.000000	0.000568	0.000064	6.831540
66.000000	0.000585	0.000065	6.849010
67.000000	0.000604	0.000066	6.864580
68.000000	0.000622	0.000066	6.882810
69.000000	0.000641	0.000068	6.879770
70.000000	0.000660	0.000069	6.895340
71.000000	0.000679	0.000070	6.912430
72.000000	0.000699	0.000070	6.961040
73.000000	0.000719	0.000072	6.969010
74.000000	0.000739	0.000073	6.972810
75.000000	0.000759	0.000074	6.930280
76.000000	0.000780	0.000075	6.954960
77.000000	0.000801	0.000076	6.969770
78.000000	0.000822	0.000077	6.981170
79.000000	0.000844	0.000078	6.991420
80.000000	0.000866	0.000079	7.002050
81.000000	0.000888	0.000080	7.021040
82.000000	0.000910	0.000080	7.027500
83.000000	0.000933	0.000081	7.031670
84.000000	0.000956	0.000083	7.047620
85.000000	0.000979	0.000083	7.044970
86.000000	0.001002	0.000085	7.051040
87.000000	0.001026	0.000085	7.059020
88.000000	0.001050	0.000087	7.067750
89.000000	0.001075	0.000087	7.073450
90.000000	0.001099	0.000089	7.077250
91.000000	0.001124	0.000089	7.086740
92.000000	0.001149	0.000091	7.091680
93.000000	0.001175	0.000091	7.101930
94.000000	0.001200	0.000093	7.115220
95.000000	0.001226	0.000094	7.122440
96.000000	0.001253	0.000095	7.133450
97.000000	0.001279	0.000096	7.139910
98.000000	0.001306	0.000097	7.131170
99.000000	0.001333	0.000098	7.139150
100.000000	0.001360	0.000099	7.147120
101.000000	0.001388	0.000099	7.149400
102.000000	0.001416	0.000101	7.155100
103.000000	0.001444	0.000101	7.166490
104.000000	0.001473	0.000103	7.179780
105.000000	0.001501	0.000104	7.176740
106.000000	0.001530	0.000105	7.178640
107.000000	0.001560	0.000106	7.185100
108.000000	0.001589	0.000107	7.192690
109.000000	0.001619	0.000108	7.200290
110.000000	0.001649	0.000109	7.210920
111.000000	0.001680	0.000110	7.220790
112.000000	0.001711	0.000111	7.228770
113.000000	0.001742	0.000112	7.239020
114.000000	0.001773	0.000112	7.246620
115.000000	0.001804	0.000114	7.245480
116.000000	0.001836	0.000114	7.257630
117.000000	0.001868	0.000116	7.268640
118.000000	0.001901	0.000117	7.272820
119.000000	0.001933	0.000118	7.275480
120.000000	0.001966	0.000119	7.280800
121.000000	0.002000	0.000120	7.278900
122.000000	0.002033	0.000120	7.290670
123.000000	0.002067	0.000122	7.297880
124.000000	0.002101	0.000123	7.287250
