time	charge	amps	volts
1.000000	0.000001	0.000003	3.297130
2.000000	0.000002	0.000003	3.297130
3.000000	0.000002	0.000003	3.297130
4.000000	0.000003	0.000003	3.297130
5.000000	0.000004	0.000003	3.297130
6.000000	0.000005	0.000003	3.297130
7.000000	0.000005	0.000003	3.297130
8.000000	0.000006	0.000003	3.297130
9.000000	0.000007	0.000002	3.297130
10.000000	0.000008	0.000002	3.297130
11.000000	0.000008	0.000002	3.297130
12.000000	0.000009	0.000002	3.297130
13.000000	0.000010	0.000003	3.297130
14.000000	0.000010	0.000002	3.297130
15.000000	0.000011	0.000003	3.297130
16.000000	0.000012	0.000002	3.297130
17.000000	0.000012	0.000002	3.297130
18.000000	0.000013	0.000002	3.297130
19.000000	0.000014	0.000002	3.297130
20.000000	0.000014	0.000002	3.297130
21.000000	0.000015	0.000002	3.297130
22.000000	0.000015	0.000002	3.297130
23.000000	0.000016	0.000002	3.297130
24.000000	0.000016	0.000002	3.297130
25.000000	0.000017	0.000002	3.297130
26.000000	0.000018	0.000002	3.297130
27.000000	0.000018	0.000002	3.297130
28.000000	0.000019	0.000002	3.297130
29.000000	0.000020	0.000002	3.297130
30.000000	0.000020	0.000002	3.297130
31.000000	0.000021	0.000003	3.297130
32.000000	0.000022	0.000003	3.297130
33.000000	0.000022	0.000003	3.297130
34.000000	0.000023	0.000003	3.297130
35.000000	0.000024	0.000003	3.297130
36.000000	0.000025	0.000003	3.297130
37.000000	0.000026	0.000003	3.297130
38.000000	0.000027	0.000003	3.297130
39.000000	0.000028	0.000003	3.297130
40.000000	0.000029	0.000003	3.297130
41.000000	0.000029	0.000002	3.297130
42.000000	0.000030	0.000002	3.297130
43.000000	0.000030	0.000002	3.297510
44.000000	0.000031	0.000002	3.297510
45.000000	0.000031	0.000002	3.297510
46.000000	0.000032	0.000003	3.297510
47.000000	0.000033	0.000003	3.297510
48.000000	0.000033	0.000002	3.297510
49.000000	0.000034	0.000002	3.297510
50.000000	0.000035	0.000002	3.297510
51.000000	0.000036	0.000002	3.297510
52.000000	0.000036	0.000002	3.297510
