time	charge	amps	volts
1.000000	0.000027	0.000098	6.814450
2.000000	0.000055	0.000099	6.949650
3.000000	0.000083	0.000099	6.999390
4.000000	0.000110	0.000100	7.021800
5.000000	0.000138	0.000100	7.037370
6.000000	0.000166	0.000100	7.051420
7.000000	0.000193	0.000100	7.063570
8.000000	0.000221	0.000100	7.071550
9.000000	0.000249	0.000100	7.076110
10.000000	0.000276	0.000100	7.058260
11.000000	0.000304	0.000100	7.066230
12.000000	0.000332	0.000100	7.072690
13.000000	0.000359	0.000100	7.072310
14.000000	0.000387	0.000100	7.085220
15.000000	0.000415	0.000100	7.081040
16.000000	0.000442	0.000100	7.079140
17.000000	0.000470	0.000100	7.079900
18.000000	0.000498	0.000100	7.075350
19.000000	0.000525	0.000100	7.073070
20.000000	0.000553	0.000100	7.072310
21.000000	0.000581	0.000100	7.074210
22.000000	0.000608	0.000100	7.073830
23.000000	0.000636	0.000100	7.030910
24.000000	0.000664	0.000100	6.903700
25.000000	0.000691	0.000100	6.909010
26.000000	0.000719	0.000100	6.910910
27.000000	0.000747	0.000100	6.912810
28.000000	0.000774	0.000100	6.917370
29.000000	0.000802	0.000100	6.918890
30.000000	0.000830	0.000100	6.919650
31.000000	0.000857	0.000100	6.915470
32.000000	0.000885	0.000100	6.905590
33.000000	0.000913	0.000100	6.908630
34.000000	0.000940	0.000100	6.910150
35.000000	0.000968	0.000100	6.912430
36.000000	0.000996	0.000100	6.915850
37.000000	0.001023	0.000100	6.912430
38.000000	0.001051	0.000100	6.913190
39.000000	0.001079	0.000100	6.912050
40.000000	0.001106	0.000100	6.913570
41.000000	0.001134	0.000100	6.910910
42.000000	0.001162	0.000100	6.894580
43.000000	0.001189	0.000100	6.901420
44.000000	0.001217	0.000100	6.904450
45.000000	0.001245	0.000100	6.896480
46.000000	0.001272	0.000100	6.910910
47.000000	0.001300	0.000100	6.942430
48.000000	0.001328	0.000100	6.947750
49.000000	0.001355	0.000100	6.950410
50.000000	0.001383	0.000100	6.950030
51.000000	0.001411	0.000100	6.950410
52.000000	0.001438	0.000100	6.951170
53.000000	0.001466	0.000100	6.953820
54.000000	0.001494	0.000100	6.952680
55.000000	0.001521	0.000100	6.953820
56.000000	0.001549	0.000100	6.954580
57.000000	0.001577	0.000100	6.953820
58.000000	0.001604	0.000100	6.953820
59.000000	0.001632	0.000100	6.953060
60.000000	0.001660	0.000100	6.952680
