time	charge	amps	volts
0.200000	-0.000001	-0.000021	-0.474666
0.400000	-0.000002	-0.000024	-0.625999
0.600000	-0.000004	-0.000024	-0.659038
0.800000	-0.000005	-0.000025	-0.665874
1.000000	-0.000007	-0.000025	-0.668343
1.200000	-0.000008	-0.000025	-0.668343
1.400000	-0.000009	-0.000025	-0.673090
1.600000	-0.000011	-0.000025	-0.682773
1.800000	-0.000012	-0.000025	-0.705179
2.000000	-0.000013	-0.000025	-0.699103
2.200000	-0.000015	-0.000025	-0.704989
2.400000	-0.000016	-0.000025	-0.708787
2.600000	-0.000018	-0.000025	-0.704040
2.800000	-0.000019	-0.000025	-0.705749
3.000000	-0.000020	-0.000025	-0.708787
3.200000	-0.000022	-0.000025	-0.715812
3.400000	-0.000023	-0.000025	-0.716952
3.600000	-0.000024	-0.000025	-0.719230
3.800000	-0.000026	-0.000025	-0.722838
4.000000	-0.000027	-0.000025	-0.725496
4.200000	-0.000029	-0.000025	-0.727395
4.400000	-0.000030	-0.000025	-0.731003
4.600000	-0.000031	-0.000025	-0.738598
4.800000	-0.000033	-0.000025	-0.741256
5.000000	-0.000034	-0.000025	-0.742206
5.200000	-0.000036	-0.000025	-0.744484
5.400000	-0.000037	-0.000025	-0.746003
5.600000	-0.000038	-0.000025	-0.749801
5.800000	-0.000040	-0.000025	-0.753788
6.000000	-0.000041	-0.000025	-0.760624
6.200000	-0.000042	-0.000025	-0.765371
6.400000	-0.000044	-0.000025	-0.777333
6.600000	-0.000045	-0.000025	-0.785878
6.800000	-0.000047	-0.000025	-0.785688
7.000000	-0.000048	-0.000025	-0.790435
7.200000	-0.000049	-0.000025	-0.793283
7.400000	-0.000051	-0.000025	-0.792713
7.600000	-0.000052	-0.000025	-0.792713
7.800000	-0.000053	-0.000025	-0.794043
8.000000	-0.000055	-0.000025	-0.795752
8.200000	-0.000056	-0.000025	-0.797650
8.400000	-0.000058	-0.000025	-0.799359
8.600000	-0.000059	-0.000025	-0.798600
8.800000	-0.000060	-0.000025	-0.798979
9.000000	-0.000062	-0.000025	-0.803726
9.200000	-0.000063	-0.000025	-0.804486
9.400000	-0.000064	-0.000025	-0.806575
9.600000	-0.000066	-0.000025	-0.809423
9.800000	-0.000067	-0.000025	-0.816448
10.000000	-0.000069	-0.000025	-0.818347
10.200000	-0.000070	-0.000025	-0.820816
10.400000	-0.000071	-0.000025	-0.827082
10.600000	-0.000073	-0.000025	-0.826892
10.800000	-0.000074	-0.000025	-0.829930
11.000000	-0.000076	-0.000025	-0.832208
11.200000	-0.000077	-0.000025	-0.832588
11.400000	-0.000078	-0.000025	-0.835626
11.600000	-0.000080	-0.000025	-0.839044
11.800000	-0.000081	-0.000025	-0.840563
12.000000	-0.000082	-0.000025	-0.842082
12.200000	-0.000084	-0.000025	-0.843791
12.400000	-0.000085	-0.000025	-0.844930
12.600000	-0.000087	-0.000025	-0.846829
12.800000	-0.000088	-0.000025	-0.851006
13.000000	-0.000089	-0.000025	-0.852905
13.200000	-0.000091	-0.000025	-0.853665
13.400000	-0.000092	-0.000025	-0.854994
13.600000	-0.000093	-0.000025	-0.857272
13.800000	-0.000095	-0.000025	-0.858222
14.000000	-0.000096	-0.000025	-0.872463
14.200000	-0.000098	-0.000025	-0.850817
14.400000	-0.000099	-0.000025	-0.852336
14.600000	-0.000100	-0.000025	-0.855753
14.800000	-0.000102	-0.000025	-0.856513
15.000000	-0.000103	-0.000025	-0.858791
15.200000	-0.000104	-0.000025	-0.860880
15.400000	-0.000106	-0.000025	-0.863159
15.600000	-0.000107	-0.000025	-0.865817
15.800000	-0.000109	-0.000025	-0.877400
16.000000	-0.000110	-0.000025	-0.869615
16.200000	-0.000111	-0.000025	-0.871134
16.400000	-0.000113	-0.000025	-0.868475
16.600000	-0.000114	-0.000025	-0.873792
16.800000	-0.000116	-0.000025	-0.877400
17.000000	-0.000117	-0.000025	-0.879678
17.200000	-0.000118	-0.000025	-0.883666
17.400000	-0.000120	-0.000025	-0.883666
17.600000	-0.000121	-0.000025	-0.884805
17.800000	-0.000122	-0.000025	-0.887083
18.000000	-0.000124	-0.000025	-0.899426
18.200000	-0.000125	-0.000025	-0.909109
18.400000	-0.000127	-0.000025	-0.900185
18.600000	-0.000128	-0.000025	-0.903033
18.800000	-0.000129	-0.000025	-0.901894
19.000000	-0.000131	-0.000025	-0.911388
19.200000	-0.000132	-0.000025	-0.919363
19.400000	-0.000133	-0.000025	-0.912527
19.600000	-0.000135	-0.000025	-0.907021
19.800000	-0.000136	-0.000025	-0.917274
20.000000	-0.000138	-0.000025	-0.918983
20.200000	-0.000139	-0.000025	-0.905312
20.400000	-0.000140	-0.000025	-0.899426
20.600000	-0.000142	-0.000025	-0.898286
20.800000	-0.000143	-0.000025	-0.899616
21.000000	-0.000145	-0.000025	-0.900945
21.200000	-0.000146	-0.000025	-0.900565
21.400000	-0.000147	-0.000025	-0.900945
21.600000	-0.000149	-0.000025	-0.901514
21.800000	-0.000150	-0.000025	-0.903033
22.000000	-0.000151	-0.000025	-0.903223
22.200000	-0.000153	-0.000025	-0.907021
22.400000	-0.000154	-0.000025	-0.908350
22.600000	-0.000156	-0.000025	-0.909869
22.800000	-0.000157	-0.000025	-0.910818
23.000000	-0.000158	-0.000025	-0.913667
23.200000	-0.000160	-0.000025	-0.916325
23.400000	-0.000161	-0.000025	-0.917464
23.600000	-0.000162	-0.000025	-0.918793
23.800000	-0.000164	-0.000025	-0.919363
24.000000	-0.000165	-0.000025	-0.921262
24.200000	-0.000167	-0.000025	-0.923540
24.400000	-0.000168	-0.000025	-0.930186
24.600000	-0.000169	-0.000025	-0.933604
24.800000	-0.000171	-0.000025	-0.931705
25.000000	-0.000172	-0.000025	-0.936832
25.200000	-0.000174	-0.000025	-0.938161
25.400000	-0.000175	-0.000025	-0.936262
25.600000	-0.000176	-0.000025	-0.930946
25.800000	-0.000178	-0.000025	-0.930566
26.000000	-0.000179	-0.000025	-0.931515
26.200000	-0.000180	-0.000025	-0.931705
26.400000	-0.000182	-0.000025	-0.932275
26.600000	-0.000183	-0.000025	-0.936072
26.800000	-0.000185	-0.000025	-0.937401
27.000000	-0.000186	-0.000025	-0.959048
27.200000	-0.000187	-0.000025	-0.960187
27.400000	-0.000189	-0.000025	-0.959238
27.600000	-0.000190	-0.000025	-0.958858
27.800000	-0.000191	-0.000025	-0.946136
28.000000	-0.000193	-0.000025	-0.946516
28.200000	-0.000194	-0.000025	-0.948984
28.400000	-0.000196	-0.000025	-0.948794
28.600000	-0.000197	-0.000025	-0.953351
28.800000	-0.000198	-0.000025	-0.953921
29.000000	-0.000200	-0.000025	-0.951642
29.200000	-0.000201	-0.000025	-0.954870
29.400000	-0.000203	-0.000025	-0.956579
29.600000	-0.000204	-0.000025	-0.955440
29.800000	-0.000205	-0.000025	-0.955440
30.000000	-0.000207	-0.000025	-0.956579
30.200000	-0.000208	-0.000025	-0.957529
30.400000	-0.000209	-0.000025	-0.958098
30.600000	-0.000211	-0.000025	-0.960757
30.800000	-0.000212	-0.000025	-0.960567
31.000000	-0.000214	-0.000025	-0.961516
31.200000	-0.000215	-0.000025	-0.961516
31.400000	-0.000216	-0.000025	-0.962086
31.600000	-0.000218	-0.000025	-0.980504
31.800000	-0.000219	-0.000025	-0.978415
32.000000	-0.000220	-0.000025	-0.976137
32.200000	-0.000222	-0.000025	-0.977276
32.400000	-0.000223	-0.000025	-0.976896
32.600000	-0.000225	-0.000025	-0.977276
32.800000	-0.000226	-0.000025	-0.978036
33.000000	-0.000227	-0.000025	-0.974238
33.200000	-0.000229	-0.000025	-0.975377
33.400000	-0.000230	-0.000025	-0.972909
33.600000	-0.000232	-0.000025	-0.976327
33.800000	-0.000233	-0.000025	-0.975757
34.000000	-0.000234	-0.000025	-0.978415
34.200000	-0.000236	-0.000025	-0.979934
34.400000	-0.000237	-0.000025	-0.978226
34.600000	-0.000238	-0.000025	-0.978605
34.800000	-0.000240	-0.000025	-0.991707
35.000000	-0.000241	-0.000025	-0.983542
35.200000	-0.000243	-0.000025	-0.982023
35.400000	-0.000244	-0.000025	-0.980694
35.600000	-0.000245	-0.000025	-0.982403
35.800000	-0.000247	-0.000025	-0.991327
36.000000	-0.000248	-0.000025	-0.995505
36.200000	-0.000249	-0.000025	-0.984492
36.400000	-0.000251	-0.000025	-0.981643
36.600000	-0.000252	-0.000025	-0.990758
36.800000	-0.000254	-0.000025	-1.000250
37.000000	-0.000255	-0.000025	-0.986580
37.200000	-0.000256	-0.000025	-0.978036
37.400000	-0.000258	-0.000025	-0.986390
37.600000	-0.000259	-0.000025	-0.986960
37.800000	-0.000261	-0.000025	-0.979555
