time	charge	amps	volts
1.000000	-0.000000	-0.000000	-0.483590
2.000000	0.000000	0.000000	-0.485869
3.000000	0.000000	0.000001	-0.384663
4.000000	0.000001	0.000002	-0.237696
5.000000	0.000002	0.000003	-0.070603
6.000000	0.000003	0.000004	0.105415
7.000000	0.000004	0.000005	0.284661
8.000000	0.000006	0.000006	0.463718
9.000000	0.000008	0.000007	0.642774
10.000000	0.000010	0.000008	0.823349
11.000000	0.000013	0.000009	0.998797
12.000000	0.000016	0.000010	1.180700
13.000000	0.000019	0.000011	1.359000
14.000000	0.000022	0.000012	1.528370
15.000000	0.000026	0.000013	1.697550
16.000000	0.000030	0.000014	1.859140
17.000000	0.000034	0.000015	2.022060
18.000000	0.000039	0.000016	2.176240
19.000000	0.000044	0.000017	2.306880
20.000000	0.000049	0.000018	2.423840
21.000000	0.000054	0.000019	2.505680
22.000000	0.000060	0.000021	2.566060
23.000000	0.000066	0.000021	2.615430
24.000000	0.000072	0.000023	2.653410
25.000000	0.000079	0.000024	2.685120
26.000000	0.000086	0.000025	2.720050
27.000000	0.000093	0.000026	2.751570
28.000000	0.000100	0.000027	2.783470
29.000000	0.000108	0.000028	2.814610
30.000000	0.000116	0.000029	2.846130
31.000000	0.000124	0.000030	2.874990
32.000000	0.000132	0.000031	2.907460
33.000000	0.000141	0.000032	2.943350
34.000000	0.000150	0.000033	2.983040
35.000000	0.000160	0.000034	3.026330
36.000000	0.000169	0.000035	3.079300
37.000000	0.000179	0.000036	3.128290
38.000000	0.000189	0.000037	3.135890
39.000000	0.000200	0.000038	3.213360
40.000000	0.000210	0.000039	3.290260
41.000000	0.000221	0.000040	3.368300
42.000000	0.000233	0.000041	3.429630
43.000000	0.000244	0.000042	3.484320
44.000000	0.000256	0.000043	3.532360
45.000000	0.000268	0.000044	3.586660
46.000000	0.000280	0.000045	3.640780
47.000000	0.000293	0.000046	3.695460
48.000000	0.000306	0.000047	3.749010
49.000000	0.000319	0.000048	3.801230
50.000000	0.000332	0.000048	3.790400
51.000000	0.000346	0.000050	3.904140
52.000000	0.000360	0.000051	3.950850
53.000000	0.000375	0.000052	3.999840
54.000000	0.000389	0.000053	4.054900
55.000000	0.000404	0.000054	4.103130
56.000000	0.000419	0.000055	4.147190
57.000000	0.000435	0.000056	4.190670
58.000000	0.000451	0.000057	4.233580
59.000000	0.000467	0.000058	4.278390
60.000000	0.000483	0.000059	4.324910
61.000000	0.000500	0.000060	4.368210
62.000000	0.000516	0.000061	4.404850
63.000000	0.000533	0.000062	4.448710
64.000000	0.000551	0.000063	4.489350
65.000000	0.000569	0.000064	4.484030
66.000000	0.000587	0.000065	4.572700
67.000000	0.000604	0.000064	4.520490
68.000000	0.000623	0.000067	4.640870
69.000000	0.000641	0.000068	4.693470
70.000000	0.000660	0.000068	4.714170
71.000000	0.000679	0.000068	4.696890
